time;x;y;z;gforce
7,637;0,02;-0,13;0,99;0,99
7,640;0,02;-0,13;0,96;0,97
7,641;0,02;-0,14;0,94;0,95
7,643;0,01;-0,17;0,96;0,98
7,645;0,01;-0,20;0,98;1,00
7,647;0,02;-0,22;1,00;1,02
7,649;0,02;-0,18;1,01;1,02
7,651;0,02;-0,12;0,96;0,97
7,653;0,02;-0,10;0,91;0,92
7,654;0,01;-0,15;0,94;0,96
7,656;0,00;-0,18;1,02;1,03
7,658;0,01;-0,18;1,02;1,03
7,660;0,02;-0,18;0,96;0,98
7,662;0,01;-0,17;0,94;0,95
7,664;0,02;-0,16;0,97;0,98
7,666;0,02;-0,14;0,99;1,00
7,693;0,02;-0,13;0,97;0,98
7,695;0,02;-0,14;0,96;0,97
7,697;0,02;-0,16;0,98;0,99
7,699;0,01;-0,16;0,98;0,99
7,701;0,01;-0,15;0,96;0,97
7,704;0,01;-0,15;0,95;0,97
7,707;0,01;-0,16;0,98;0,99
7,709;0,02;-0,15;0,98;0,99
7,711;0,02;-0,15;0,97;0,98
7,713;0,01;-0,16;0,97;0,98
7,715;0,01;-0,16;0,98;0,99
7,717;0,02;-0,15;0,98;0,99
7,719;0,01;-0,15;0,96;0,97
7,720;0,01;-0,16;0,97;0,98
7,722;0,02;-0,15;0,98;0,99
7,731;0,02;-0,15;0,97;0,98
7,733;0,01;-0,16;0,96;0,97
7,735;0,01;-0,16;0,96;0,97
7,736;0,02;-0,15;0,96;0,97
7,759;0,02;-0,14;0,97;0,98
7,762;0,02;-0,15;0,97;0,98
8,162;0,01;-0,15;0,96;0,97
8,164;0,01;-0,16;0,98;0,99
8,166;0,01;-0,16;0,98;0,99
8,168;0,01;-0,16;0,97;0,98
8,170;0,00;-0,16;0,97;0,98
8,172;0,02;-0,15;0,96;0,97
8,174;0,03;-0,14;0,94;0,95
8,176;0,02;-0,15;0,94;0,96
8,177;0,00;-0,17;0,99;1,01
8,180;-0,02;-0,16;1,00;1,01
8,182;-0,02;-0,17;0,99;1,01
8,183;0,00;-0,17;0,99;1,00
8,185;0,01;-0,15;0,96;0,97
8,187;0,01;-0,15;0,95;0,97
8,189;0,02;-0,16;0,96;0,97
8,191;0,02;-0,16;0,98;0,99
8,193;0,02;-0,15;0,98;0,99
8,195;0,01;-0,15;0,97;0,98
8,196;0,01;-0,16;0,97;0,98
8,199;0,01;-0,16;0,98;0,99
8,201;0,02;-0,15;0,97;0,98
8,203;0,02;-0,14;0,96;0,97
8,204;0,02;-0,14;0,97;0,98
8,206;0,02;-0,14;0,98;0,99
8,208;0,02;-0,15;0,98;0,99
8,211;0,01;-0,16;0,98;0,99
8,213;0,01;-0,15;0,97;0,98
8,214;0,01;-0,15;0,98;0,99
8,216;0,01;-0,15;0,97;0,98
8,218;0,01;-0,15;0,97;0,98
8,220;0,01;-0,14;0,97;0,98
8,222;0,02;-0,14;0,97;0,98
8,250;0,02;-0,14;0,96;0,97
8,252;0,02;-0,14;0,96;0,97
8,269;0,02;-0,15;0,98;0,99
8,279;0,01;-0,15;0,98;0,99
8,281;0,02;-0,15;0,97;0,98
8,283;0,02;-0,14;0,97;0,98
8,284;0,02;-0,14;0,96;0,97
8,286;0,02;-0,14;0,96;0,97
8,298;0,02;-0,14;0,96;0,97
8,301;0,02;-0,14;0,97;0,98
8,302;0,02;-0,14;0,98;0,99
8,304;0,02;-0,14;0,98;0,99
8,306;0,02;-0,15;0,99;1,00
8,328;0,02;-0,15;0,98;0,99
8,331;0,02;-0,15;0,97;0,98
8,333;0,02;-0,14;0,98;0,99
8,706;0,02;-0,14;0,98;0,99
8,707;0,02;-0,14;0,97;0,98
8,710;0,02;-0,14;0,97;0,98
8,712;0,02;-0,14;0,97;0,98
8,714;0,02;-0,14;0,96;0,97
8,715;0,02;-0,14;0,96;0,97
8,717;0,02;-0,14;0,97;0,98
8,720;0,02;-0,14;0,97;0,98
8,722;0,02;-0,15;0,96;0,97
8,723;0,02;-0,15;0,97;0,98
8,725;0,02;-0,15;0,97;0,98
8,727;0,02;-0,14;0,96;0,97
8,730;0,02;-0,14;0,97;0,98
8,731;0,02;-0,15;0,97;0,98
8,733;0,02;-0,15;0,96;0,97
8,735;0,02;-0,15;0,96;0,97
8,737;0,02;-0,15;0,97;0,98
8,740;0,02;-0,15;0,97;0,98
8,741;0,02;-0,15;0,98;0,99
8,743;0,02;-0,15;0,98;0,99
8,745;0,02;-0,15;0,97;0,98
8,746;0,02;-0,15;0,97;0,98
8,749;0,02;-0,14;0,97;0,98
8,751;0,02;-0,14;0,97;0,98
8,752;0,02;-0,14;0,97;0,98
8,754;0,02;-0,15;0,97;0,98
8,756;0,02;-0,16;0,97;0,98
8,758;0,02;-0,16;0,97;0,98
8,760;0,02;-0,15;0,97;0,98
8,762;0,02;-0,14;0,97;0,98
8,792;0,02;-0,15;0,99;1,00
8,794;0,02;-0,15;0,99;1,00
8,795;0,02;-0,15;0,98;0,99
8,797;0,02;-0,16;0,98;0,99
8,802;0,02;-0,16;0,98;0,99
8,804;0,02;-0,15;0,97;0,98
8,805;0,02;-0,15;0,97;0,98
8,807;0,02;-0,15;0,97;0,98
8,810;0,02;-0,15;0,97;0,98
8,812;0,02;-0,15;0,97;0,98
8,814;0,02;-0,15;0,97;0,98
8,816;0,02;-0,15;0,99;1,00
8,817;0,02;-0,16;0,98;0,99
8,841;0,02;-0,16;0,97;0,98
8,843;0,02;-0,15;0,97;0,98
8,845;0,02;-0,14;0,97;0,98
8,859;0,02;-0,14;0,96;0,97
8,861;0,02;-0,14;0,96;0,97
8,863;0,02;-0,14;0,97;0,98
8,865;0,02;-0,14;0,98;0,99
8,866;0,02;-0,15;0,98;0,99
8,889;0,02;-0,15;0,97;0,98
9,203;0,02;-0,15;0,98;0,99
9,206;0,02;-0,15;0,97;0,98
9,220;0,02;-0,14;0,97;0,98
9,240;0,02;-0,15;0,97;0,98
9,242;0,02;-0,14;0,96;0,97
9,244;0,02;-0,14;0,96;0,97
9,246;0,01;-0,15;0,96;0,97
9,250;0,02;-0,15;0,97;0,98
9,252;0,02;-0,15;0,98;0,99
9,253;0,02;-0,15;0,98;0,99
9,255;0,02;-0,15;0,97;0,98
9,257;0,02;-0,15;0,96;0,97
9,260;0,02;-0,14;0,96;0,97
9,261;0,02;-0,14;0,96;0,97
9,263;0,02;-0,14;0,98;0,99
9,265;0,02;-0,14;0,97;0,98
9,267;0,01;-0,14;0,97;0,98
9,269;0,02;-0,15;0,98;0,99
9,271;0,01;-0,15;0,98;0,99
9,273;0,01;-0,15;0,97;0,98
9,274;0,02;-0,15;0,96;0,97
9,276;0,02;-0,15;0,96;0,97
9,278;0,02;-0,14;0,97;0,98
9,280;0,01;-0,15;0,97;0,98
9,282;0,01;-0,15;0,98;0,99
9,284;0,02;-0,15;0,99;1,00
9,286;0,02;-0,15;0,99;1,00
9,288;0,02;-0,15;0,97;0,98
9,320;0,01;-0,15;0,97;0,98
9,322;0,02;-0,15;0,98;0,99
9,324;0,02;-0,15;0,97;0,98
9,325;0,02;-0,15;0,96;0,97
9,327;0,02;-0,15;0,97;0,98
9,331;0,02;-0,14;0,98;0,99
9,333;0,02;-0,14;0,98;0,99
9,334;0,01;-0,15;0,99;1,00
9,336;0,01;-0,15;0,99;1,00
9,340;0,01;-0,15;0,98;0,99
9,341;0,01;-0,15;0,96;0,97
9,343;0,01;-0,15;0,96;0,97
9,345;0,01;-0,15;0,96;0,97
9,346;0,01;-0,15;0,97;0,98
9,348;0,01;-0,15;0,99;1,00
9,351;0,02;-0,15;0,99;1,00
9,352;0,02;-0,15;0,98;0,99
9,354;0,01;-0,15;0,98;0,99
9,356;0,02;-0,14;0,96;0,97
9,358;0,02;-0,15;0,96;0,97
9,717;0,01;-0,15;0,97;0,98
9,741;0,01;-0,15;0,97;0,98
9,743;0,01;-0,15;0,97;0,98
9,745;0,01;-0,15;0,98;0,99
9,759;0,01;-0,15;0,98;0,99
9,761;0,02;-0,15;0,98;0,99
9,763;0,01;-0,15;0,98;0,99
9,765;0,01;-0,15;0,97;0,98
9,766;0,01;-0,15;0,97;0,98
9,789;0,01;-0,15;0,97;0,98
9,791;0,01;-0,15;0,98;0,99
9,793;0,01;-0,15;0,97;0,98
9,794;0,01;-0,15;0,96;0,97
9,796;0,01;-0,14;0,96;0,97
9,800;0,02;-0,14;0,95;0,96
9,802;0,02;-0,14;0,93;0,94
9,804;0,01;-0,15;0,95;0,97
9,805;-0,01;-0,15;0,99;1,00
9,807;0,00;-0,15;0,97;0,98
9,810;-0,01;-0,15;0,99;1,00
9,812;0,00;-0,15;0,99;1,00
9,813;-0,01;-0,15;0,99;1,00
9,815;-0,01;-0,16;0,99;1,00
9,817;-0,01;-0,15;0,98;0,99
9,853;-0,01;-0,15;0,99;1,00
9,856;0,00;-0,15;0,99;1,00
9,857;0,00;-0,16;0,99;1,00
9,860;0,00;-0,16;0,99;1,01
9,862;-0,01;-0,16;0,99;1,01
9,865;-0,01;-0,15;0,95;0,97
9,867;0,00;-0,15;0,92;0,93
9,870;0,00;-0,15;0,94;0,96
9,871;0,00;-0,15;0,98;0,99
9,874;-0,01;-0,15;0,99;1,00
9,876;0,00;-0,15;0,97;0,98
9,878;0,00;-0,15;0,96;0,97
9,880;0,01;-0,15;0,97;0,98
9,882;0,01;-0,15;0,98;0,99
9,884;0,01;-0,15;0,97;0,98
9,885;0,00;-0,15;0,98;0,99
9,887;0,00;-0,15;0,98;0,99
9,890;0,00;-0,16;0,97;0,98
9,891;0,00;-0,16;0,97;0,98
9,893;0,00;-0,15;0,96;0,97
9,895;0,00;-0,16;0,96;0,97
9,896;0,00;-0,16;0,96;0,97
9,899;0,00;-0,15;0,97;0,98
9,901;0,00;-0,16;0,98;0,99
9,902;0,00;-0,15;0,98;0,99
9,904;0,01;-0,15;0,98;0,99
9,906;0,00;-0,15;0,97;0,98
9,907;0,00;-0,15;0,98;0,99
10,248;0,00;-0,15;0,98;0,99
10,250;0,00;-0,16;0,98;0,99
10,252;0,00;-0,16;0,97;0,98
10,254;0,01;-0,15;0,97;0,98
10,256;0,01;-0,15;0,98;0,99
10,258;0,00;-0,15;0,97;0,98
10,260;0,00;-0,15;0,97;0,98
10,262;0,00;-0,15;0,96;0,97
10,280;0,00;-0,15;0,96;0,97
10,282;0,00;-0,15;0,97;0,98
10,285;0,00;-0,15;0,98;0,99
10,287;0,00;-0,15;0,97;0,98
10,300;0,01;-0,15;0,96;0,97
10,302;0,00;-0,15;0,96;0,97
10,304;0,00;-0,15;0,97;0,98
10,306;0,00;-0,15;0,98;0,99
10,318;0,00;-0,15;0,96;0,97
